date,year,holiday_name,holiday_type,venue_scope,venues_closed,observed_scope,n_missing,n_active,affected_instruments
2015-05-01,2015,Labour Day (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2015-05-25,2015,Memorial Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2015-07-03,2015,Independence Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2015-09-07,2015,Labor Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2015-11-26,2015,Thanksgiving Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2015-12-25,2015,Christmas Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2016-01-01,2016,New Year's Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2016-01-18,2016,Martin Luther King Jr. Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2016-02-15,2016,Presidents' Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2016-03-25,2016,Good Friday,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2016-03-28,2016,Easter Monday (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2016-05-30,2016,Memorial Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2016-07-04,2016,Independence Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2016-09-05,2016,Labor Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2016-11-24,2016,Thanksgiving Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2016-12-26,2016,Christmas Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2017-01-02,2017,New Year's Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2017-01-16,2017,Martin Luther King Jr. Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2017-02-20,2017,Presidents' Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2017-04-14,2017,Good Friday,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2017-04-17,2017,Easter Monday (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2017-05-01,2017,Labour Day (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2017-05-29,2017,Memorial Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,10,11,"cl1s,es1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
