date,instrument,f17_hmm_state_lo,f17_hmm_state_mid,f17_hmm_state_hi,f17_hmm_state_argmax
2020-03-25,hg1s,1.2410261618981386e-07,3.1831594865102537e-07,0.9999995575818571,2.0
2020-03-26,hg1s,3.4017586107600106e-10,7.770961307014402e-06,0.9999922286999223,2.0
2020-03-27,hg1s,5.821908279667727e-09,3.3880676645865274e-06,0.9999966061098643,2.0
2020-03-30,hg1s,1.394716876035511e-08,3.251176367017566e-05,0.9999674742881428,2.0
2020-03-31,hg1s,2.2157303697419485e-07,7.423627437081344e-11,0.9999997783525277,2.0
2020-04-01,hg1s,1.5880181483994721e-13,1.6599635736635932e-06,0.9999983400353039,2.0
2020-04-02,hg1s,1.2146781306819508e-08,7.177952323678148e-10,0.999999987136107,2.0
2020-04-03,hg1s,3.074359465020463e-12,2.4560475635169874e-07,0.999999754392805,2.0
2020-04-06,hg1s,1.7539230454548928e-09,4.687281372439419e-09,0.9999999935571395,2.0
2020-04-07,hg1s,2.316819218527483e-09,1.6050347570392504e-11,0.9999999976680556,2.0
2020-04-08,hg1s,1.9721308274559078e-12,1.624623081292727e-08,0.9999999837527868,2.0
2020-04-09,hg1s,1.2221817573646995e-11,8.075582171488945e-09,0.9999999919127731,2.0
2020-04-13,hg1s,3.2744051941566204e-10,2.946063710118705e-11,0.9999999996434781,2.0
2020-04-14,hg1s,2.9428602329782365e-10,7.493752517438039e-10,0.9999999989559001,2.0
2020-04-15,hg1s,9.400605965155825e-13,2.6594067970844326e-07,0.9999997340601465,2.0
2020-04-16,hg1s,4.2191327502886054e-05,0.003454475621031074,0.9965033330504331,2.0
2020-04-17,hg1s,0.0007112987605718267,3.097555012041616e-05,0.9992577256903739,2.0
2020-04-20,hg1s,3.3565649068729955e-06,0.003352905975241565,0.99664373745931,2.0
2020-04-21,hg1s,1.931727925948089e-11,0.00022538307394959987,0.9997746169050874,2.0
2020-04-22,hg1s,0.00037080023482931736,1.0262785493167466e-05,0.9996189369792701,2.0
2020-04-23,hg1s,0.00017474459809596293,0.0005456733591406338,0.9992795820412499,2.0
2020-04-24,hg1s,0.0002934520952479842,0.0005960483648914683,0.999110499541525,2.0
2020-04-27,hg1s,0.00013420080960529636,0.0018688834065820452,0.9979969157837305,2.0
2020-04-28,hg1s,0.00012449984242907507,0.0034348422902098523,0.9964406578669369,2.0
2020-04-29,hg1s,0.0025134461788509574,0.0035254302479580885,0.9939611235746908,2.0
2020-04-30,hg1s,0.0002975889951394715,0.04843289015737214,0.951269520847516,2.0
2020-05-01,hg1s,0.0010500655332686681,0.08623238207064798,0.9127175523953909,2.0
2020-05-04,hg1s,0.03588140499608762,0.0988865190003712,0.8652320760042889,2.0
2020-05-05,hg1s,0.11877958974183159,0.06284769241021736,0.8183727178467503,2.0
2020-05-06,hg1s,0.1720416222242991,0.19660448554628884,0.6313538922280629,2.0
2020-05-07,hg1s,0.45292194176605405,0.09188567565540871,0.45519238257724964,2.0
2020-05-08,hg1s,0.44051780910299787,0.2380485210373415,0.3214336698612643,0.0
2020-05-11,hg1s,0.030796523941567965,0.833187143242186,0.136016332816828,1.0
2020-05-12,hg1s,0.08540887264428303,0.8503483997487472,0.0642427276054069,1.0
2020-05-13,hg1s,0.1652343222347684,0.8101043624773014,0.02466131528815581,1.0
2020-05-14,hg1s,0.3394875643649925,0.6491744916247576,0.011337944009571289,1.0
2020-05-15,hg1s,0.14805347889068943,0.8481816284014526,0.0037648927086841844,1.0
2020-05-18,hg1s,0.9739626560176837,0.00643685164402963,0.019600492336641306,0.0
2020-05-19,hg1s,0.3803505163076116,0.6178509162205803,0.0017985674706624654,1.0
2020-05-20,hg1s,0.7278867315573938,0.2705548521325315,0.0015584163099005355,0.0
2020-05-21,hg1s,0.13137211205159566,0.8680437206036433,0.0005841673435050518,1.0
2020-05-22,hg1s,0.07305073512606565,0.9244312764058986,0.0025179884686471516,1.0
2020-05-26,hg1s,0.7910752498323735,0.20710982102137263,0.0018149291452603424,0.0
2020-05-27,hg1s,0.040874834312566964,0.9581622922074282,0.0009628734798946285,1.0
2020-05-28,hg1s,0.8143763059361594,0.18356848304803566,0.0020552110148627646,0.0
2020-05-29,hg1s,0.41059365227426736,0.5886488858800112,0.0007574618455417718,1.0
2020-06-01,hg1s,0.8447384925560185,0.1532727373178414,0.0019887701252433738,0.0
2020-06-02,hg1s,0.5066197407430887,0.49257003464414556,0.0008102246123248967,0.0
2020-06-03,hg1s,0.29390480289411075,0.7051850503279065,0.0009101467775418838,1.0
2020-06-04,hg1s,0.40625893269137114,0.592557578912809,0.001183488396565274,1.0
2020-06-05,hg1s,0.9499890258745288,0.04482586026824026,0.005185113855779991,0.0
2020-06-08,hg1s,0.3375546374343649,0.661187844075935,0.0012575184897618264,1.0
2020-06-09,hg1s,0.7697454650709584,0.2283967762067829,0.0018577587237058354,0.0
2020-06-10,hg1s,0.8807876011116008,0.11657846465906532,0.002633934227931316,0.0
2020-06-11,hg1s,0.0011854565790400484,0.9933509482281029,0.005463595191572061,1.0
2020-06-12,hg1s,0.6010931063827928,0.39122702862331277,0.007679864994616169,0.0
2020-06-15,hg1s,0.022856787019511424,0.9709905610031849,0.006152651977687872,1.0
2020-06-16,hg1s,0.3598142738281905,0.636037889747662,0.004147836424107567,1.0
2020-06-17,hg1s,0.6968782135674135,0.29981506882524583,0.0033067176067350175,0.0
2020-06-18,hg1s,0.24748029203296798,0.751006330814951,0.0015133771536850094,1.0
2020-06-19,hg1s,0.6801462762439671,0.31788522527662016,0.0019684984800600915,0.0
2020-06-22,hg1s,0.7457397221960713,0.25283609773228366,0.0014241800728231647,0.0
2020-06-23,hg1s,0.35030958491328584,0.6490566561764752,0.0006337589106532662,1.0
2020-06-24,hg1s,0.3230885003278604,0.6761524072227292,0.0007590924476395008,1.0
2020-06-25,hg1s,0.5937368540356516,0.40540515573589536,0.0008579902272474385,0.0
