scope,members,pool_size,instrument,asset_class,model,variant,n_modelling,n_oos,mean_auc,sem,std_auc,lower_ci_1se,skipped,reason,elapsed_s
precious,gc1s+si1s+pl1s,3,pl1s,metals,elasticnet_logistic,without_bbg,941,1864,0.535259,0.024390,0.091261,0.510869,False,,1.690000
precious,gc1s+si1s+pl1s,3,pl1s,metals,random_forest,without_bbg,941,1864,0.540727,0.023540,0.088079,0.517187,False,,1.980000
precious,gc1s+si1s+pl1s,3,pl1s,metals,xgboost,without_bbg,941,1864,0.523998,0.022552,0.084382,0.501446,False,,0.620000
precious,gc1s+si1s+pl1s,3,pl1s,metals,lightgbm,without_bbg,941,1864,0.517341,0.024682,0.092353,0.492658,False,,1.530000
gc_only,gc1s,1,gc1s,metals,elasticnet_logistic,without_bbg,136,0,,,,,True,individual pool < MIN_INDIVIDUAL_EVENTS=250,0.000000
gc_only,gc1s,1,gc1s,metals,random_forest,without_bbg,136,0,,,,,True,individual pool < MIN_INDIVIDUAL_EVENTS=250,0.000000
gc_only,gc1s,1,gc1s,metals,xgboost,without_bbg,136,0,,,,,True,individual pool < MIN_INDIVIDUAL_EVENTS=250,0.000000
gc_only,gc1s,1,gc1s,metals,lightgbm,without_bbg,136,0,,,,,True,individual pool < MIN_INDIVIDUAL_EVENTS=250,0.000000
si_only,si1s,1,si1s,metals,elasticnet_logistic,without_bbg,405,1888,0.528980,0.011366,0.042527,0.517614,False,,0.660000
si_only,si1s,1,si1s,metals,random_forest,without_bbg,405,1888,0.512322,0.013407,0.050166,0.498915,False,,1.280000
si_only,si1s,1,si1s,metals,xgboost,without_bbg,405,1888,0.486887,0.013814,0.051686,0.473073,False,,0.470000
si_only,si1s,1,si1s,metals,lightgbm,without_bbg,405,1888,0.494611,0.012802,0.047901,0.481809,False,,0.670000
hg_only,hg1s,1,hg1s,metals,elasticnet_logistic,without_bbg,444,2072,0.510864,0.020758,0.077671,0.490106,False,,0.740000
hg_only,hg1s,1,hg1s,metals,random_forest,without_bbg,444,2072,0.508809,0.013716,0.051322,0.495093,False,,1.340000
hg_only,hg1s,1,hg1s,metals,xgboost,without_bbg,444,2072,0.487031,0.012674,0.047420,0.474357,False,,0.470000
hg_only,hg1s,1,hg1s,metals,lightgbm,without_bbg,444,2072,0.495458,0.014387,0.053830,0.481071,False,,0.720000
pl_only,pl1s,1,pl1s,metals,elasticnet_logistic,without_bbg,400,1864,0.467894,0.017324,0.064821,0.450570,False,,0.760000
pl_only,pl1s,1,pl1s,metals,random_forest,without_bbg,400,1864,0.543108,0.019069,0.071349,0.524039,False,,1.330000
pl_only,pl1s,1,pl1s,metals,xgboost,without_bbg,400,1864,0.515128,0.020796,0.077812,0.494331,False,,0.450000
pl_only,pl1s,1,pl1s,metals,lightgbm,without_bbg,400,1864,0.511831,0.022052,0.082511,0.489779,False,,0.640000
gc_si,gc1s+si1s,2,gc1s,metals,elasticnet_logistic,without_bbg,541,645,0.434237,0.038144,0.142721,0.396094,False,,0.810000
gc_si,gc1s+si1s,2,gc1s,metals,random_forest,without_bbg,541,645,0.443220,0.029933,0.111999,0.413287,False,,1.440000
gc_si,gc1s+si1s,2,gc1s,metals,xgboost,without_bbg,541,645,0.454824,0.023552,0.088123,0.431272,False,,0.510000
gc_si,gc1s+si1s,2,gc1s,metals,lightgbm,without_bbg,541,645,0.451647,0.035012,0.131002,0.416635,False,,0.860000
gc_si,gc1s+si1s,2,si1s,metals,elasticnet_logistic,without_bbg,541,1879,0.537292,0.014812,0.055420,0.522481,False,,0.810000
gc_si,gc1s+si1s,2,si1s,metals,random_forest,without_bbg,541,1879,0.531916,0.012212,0.045693,0.519704,False,,1.450000
